Gene	apo_rank	ABrank	ALrank
YARS	2547	NA	NA
FLJ20035	2548	NA	NA
ZKSCAN1	2549	NA	NA
EDF1	2550	NA	NA
OAS3	2551	NA	NA
UCP3	2552	NA	NA
MLLT2	2553	NA	NA
RY1	2554	NA	NA
FXYD3	2555	NA	NA
HK1	2556	NA	NA
FASN	2557	NA	NA
GLRX	2558	NA	NA
COBLL1	2559	NA	NA
QARS	2560	NA	NA
GLI2	2561	NA	NA
MGC5242	2562	NA	NA
PHF16	2563	NA	NA
ARFRP1	2564	NA	NA
HLA-DMB	2565	NA	NA
HIST1H2BN	2566	NA	NA
KRTHB5	2567	NA	NA
NDUFB8	2568	NA	NA
GNB2L1	2569	NA	NA
DHRS8	2570	NA	NA
COX7A2L	2571	NA	NA
TIMM23	2572	NA	NA
C4BPA	2573	NA	NA
FLJ20647	2574	NA	NA
FSHB	2575	NA	NA
E2F1	2576	NA	NA
LETM1	2577	NA	NA
CTSL2	2578	NA	NA
"NAT1"	2579	NA	NA
STX18	2580	NA	NA
CACNA1D	2581	NA	NA
AHCYL1	2582	NA	NA
SERTAD3	2583	NA	NA
SEC14L2	2584	NA	NA
CITED1	2585	NA	NA
ISCU	2586	NA	NA
DKK3	2587	NA	NA
BIRC4	2588	NA	NA
KLHL1	2589	NA	NA
ERH	2590	NA	NA
MTHFS	2591	NA	NA
SORT1	2592	NA	NA
EBNA1BP2	2593	NA	NA
PSMD10	2594	NA	NA
PRKAR2B	2595	225	95
TMEM16B	2596	NA	NA
PPP1R12B	2597	NA	NA
PLAGL2	2598	NA	NA
RPS6KA2	2599	NA	NA
ICT1	2600	NA	NA
DKFZP564O0823	2601	NA	NA
IRAK4	2602	NA	NA
TRIM3	2603	NA	NA
RANGAP1	2604	NA	NA
PRKCABP	2605	NA	NA
DLAT	2606	NA	NA
CHL1	2607	NA	NA
SEC61B	2608	NA	NA
CD58	2609	NA	NA
ARPC1B	2610	NA	NA
MRC1	2611	NA	NA
LIMK1	2612	NA	NA
LOC55831	2613	NA	NA
TDRD7	2614	NA	NA
MCC	2615	NA	NA
LY86	2616	NA	NA
ARMCX3	2617	NA	NA
PTPRE	2618	NA	NA
AP3S2	2619	NA	NA
ZNF79	2620	NA	NA
AMFR	2621	NA	NA
BCCIP	2622	NA	NA
SMPD1	2623	NA	NA
RAD23B	2624	NA	NA
MYL7	2625	NA	NA
ATP2A2	2626	NA	NA
PSMC1	2627	NA	NA
RAB1A	2628	NA	NA
PIPOX	2629	NA	NA
PRKCB1	2630	NA	NA
VAMP1	2631	NA	NA
EML4	2632	NA	NA
RARA	2633	NA	NA
UBE2I	2634	NA	NA
IL22	2635	NA	NA
NUP37	2636	NA	NA
AP1G2	2637	NA	NA
CPT1A	2638	NA	NA
KAT3	2639	NA	NA
RTDR1	2640	NA	NA
FLJ10847	2641	NA	NA
PAFAH1B2	2642	NA	NA
MAPKAPK3	2643	NA	NA
ASF1B	2644	NA	NA
HPS6	2645	NA	NA
PELI2	2646	NA	NA
ASCL3	2647	NA	NA
SPTLC1	2648	NA	NA
SND1	2649	NA	NA
GLTP	2650	NA	NA
ARHGAP15	2651	NA	NA
HIVEP1	2652	NA	NA
PSCDBP	2653	NA	NA
KIAA0052	2654	NA	NA
HIF1AN	2655	NA	NA
ISGF3G	2656	NA	NA
FLJ11082	2657	NA	NA
CLN5	2658	NA	NA
LILRA2	2659	NA	NA
FLJ21159	2660	NA	NA
ZNHIT2	2661	NA	NA
AHSG	2662	NA	NA
TRIB1	2663	NA	NA
ADAM21	2664	NA	NA
PDGFRL	2665	NA	NA
ZNF12	2666	NA	NA
FLJ21820	2667	NA	NA
CHD8	2668	NA	NA
MARCH-II	2669	NA	NA
GABRA2	2670	NA	NA
NY-REN-7	2671	NA	NA
BTNL8	2672	NA	NA
GEMIN7	2673	NA	NA
SELPLG	2674	NA	NA
HSPE1	2675	NA	NA
LPO	2676	NA	NA
C1QR1	2677	NA	NA
BCL2L11	2678	NA	NA
IL5	2679	NA	NA
ECT2	2680	NA	NA
TFAM	2681	NA	NA
LANCL2	2682	NA	NA
TOM1	2683	NA	NA
CD2	2684	NA	NA
CASC1	2685	NA	NA
FLJ13611	2686	NA	NA
GHITM	2687	NA	NA
UTX	2688	NA	NA
CDC42EP2	2689	NA	NA
SNX11	2690	NA	NA
RTN4	2691	NA	NA
RRN3	2692	NA	NA
CAS1	2693	209	NA
P2RXL1	2694	NA	NA
TDE2	2695	NA	NA
ASNA1	2696	NA	NA
GIF	2697	NA	NA
CTEN	2698	NA	NA
KCTD2	2699	NA	NA
SFRP4	2700	NA	NA
PSMD12	2701	NA	NA
ATP6V0A1	2702	NA	NA
RGS17	2703	NA	NA
ASCC1	2704	NA	NA
AKR1D1	2705	155	110
PRKRIR	2706	NA	NA
PPP2R5B	2707	NA	NA
PTPRM	2708	NA	NA
KCNJ12	2709	NA	NA
DKFZP564C186	2710	NA	NA
CCT5	2711	NA	NA
FBXL5	2712	NA	NA
OCLN	2713	NA	NA
NMBR	2714	NA	NA
PSCD3	2715	NA	NA
F10	2716	NA	NA
SELP	2717	NA	NA
APOC2	2718	NA	NA
SMAP-5	2719	NA	NA
MHC2TA	2720	NA	NA
INHBC	2721	NA	NA
MS4A1	2722	NA	NA
IDH3A	2723	NA	NA
ADRA1D	2724	NA	NA
GPR45	2725	NA	NA
HLA-DMA	2726	NA	NA
ERN1	2727	NA	NA
RASGRP2	2728	NA	NA
FN5	2729	NA	244
FLJ20366	2730	NA	NA
LASS2	2731	NA	NA
MYRIP	2732	NA	NA
SDC4	2733	NA	NA
FBXO38	2734	NA	NA
RAB38	2735	NA	258
PCBD	2736	NA	NA
ZNF331	2737	NA	NA
ARHGEF12	2738	NA	NA
SILV	2739	NA	NA
GPR37L1	2740	NA	NA
STK16	2741	NA	NA
SEMG2	2742	NA	NA
PIN4	2743	NA	NA
SSFA2	2744	NA	NA
KIAA0690	2745	NA	NA
GCC1	2746	NA	NA
WWOX	2747	NA	NA
HSF2	2748	NA	NA
TGFBR2	2749	NA	NA
TDRKH	2750	NA	NA
CPSF5	2751	NA	NA
CDC34	2752	NA	NA
LCP1	2753	NA	NA
ZA20D2	2754	NA	NA
PP1201	2755	NA	NA
NMU	2756	NA	NA
PKP1	2757	296	NA
PSMA6	2758	NA	NA
ECM1	2759	NA	NA
ATP1B2	2760	NA	NA
PRKAG1	2761	NA	NA
SLC17A3	2762	NA	NA
GALNT8	2763	NA	NA
PRY	2764	NA	NA
MFN2	2765	NA	NA
MGC23401	2766	NA	NA
PGLYRP4	2767	NA	NA
NKX2-8	2768	NA	NA
NFYA	2769	NA	NA
SEMA5A	2770	NA	NA
DDO	2771	NA	NA
MTSS1	2772	NA	NA
PARP2	2773	NA	NA
PMS2	2774	NA	NA
CD69	2775	NA	NA
ST13	2776	NA	NA
NOX5	2777	NA	NA
NDUFA1	2778	NA	NA
GSTM5	2779	NA	NA
IL17B	2780	NA	NA
GCG	2781	NA	NA
IGSF3	2782	NA	NA
ACADL	2783	NA	NA
HLX1	2784	NA	NA
CECR5	2785	NA	NA
GPR18	2786	NA	NA
FLJ21127	2787	NA	NA
LASS4	2788	243	NA
SERPINB1	2789	NA	NA
PNRC2	2790	NA	NA
BHLHB9	2791	NA	NA
FBXO9	2792	51	249
ELL2	2793	NA	NA
"NADSYN1"	2794	NA	NA
TPT1	2795	NA	NA
GPR22	2796	NA	NA
EYA3	2797	NA	NA
MAPK13	2798	NA	NA
SLIT3	2799	NA	NA
FLJ10884	2800	NA	NA
SPINK1	2801	NA	NA
SMNDC1	2802	NA	NA
CUBN	2803	NA	NA
PHF20	2804	NA	NA
GRM3	2805	NA	NA
RNGTT	2806	NA	NA
PIGF	2807	NA	NA
KIAA0859	2808	NA	NA
MEP50	2809	NA	NA
ARHGEF5	2810	NA	NA
PCDH21	2811	NA	NA
MME	2812	NA	NA
BTN3A3	2813	NA	NA
TMEPAI	2814	NA	NA
MTMR9	2815	NA	NA
PDGFC	2816	NA	NA
LAP1B	2817	NA	NA
MAN2A1	2818	NA	NA
TFCP2	2819	NA	NA
KIAA0157	2820	NA	NA
SLC1A6	2821	NA	NA
COBRA1	2822	NA	NA
PSMA5	2823	NA	NA
PITX1	2824	NA	NA
ABCA8	2825	NA	NA
MGC5509	2826	NA	NA
CXCL11	2827	NA	NA
FLII	2828	NA	NA
CHC1L	2829	NA	NA
EDN2	2830	NA	NA
MSL3L1	2831	NA	NA
ADRA2A	2832	NA	NA
MGC3265	2833	NA	NA
KIF3A	2834	NA	NA
KBTBD10	2835	NA	NA
AK5	2836	NA	NA
SLC27A3	2837	NA	NA
FGF1	2838	NA	NA
RREB1	2839	NA	NA
MARCH-VI	2840	NA	NA
PHOX2B	2841	NA	NA
LGI1	2842	NA	NA
TRIM14	2843	NA	NA
LOC83468	2844	NA	NA
OSTM1	2845	NA	NA
OR5I1	2846	NA	NA
USP2	2847	NA	NA
FLJ20421	2848	NA	NA
HTR1A	2849	NA	NA
TNKS2	2850	NA	NA
MAP1LC3B	2851	NA	NA
PAQR6	2852	NA	NA
CECR1	2853	NA	NA
CSNK2A1	2854	NA	NA
SUMO2	2855	NA	NA
CDH3	2856	NA	NA
BMI1	2857	NA	195
IER3	2858	NA	NA
SUCLG2	2859	NA	NA
RNF7	2860	NA	NA
XTP3TPA	2861	NA	NA
ZFP95	2862	NA	NA
TIMM10	2863	NA	NA
SPARC	2864	NA	NA
LOC93349	2865	NA	NA
CUL4B	2866	NA	NA
RGS6	2867	NA	NA
PKNOX1	2868	NA	NA
CYP21A2	2869	NA	NA
RAB11B	2870	NA	NA
RSC1A1	2871	NA	NA
MYOD1	2872	NA	NA
PSMA1	2873	NA	NA
PLCB3	2874	NA	NA
"NAPG"	2875	NA	NA
C8A	2876	NA	NA
NCAM1	2877	NA	NA
MAGEA9	2878	NA	NA
DDT	2879	NA	NA
FBXW7	2880	NA	NA
TANK	2881	NA	NA
TP53I3	2882	NA	NA
PFDN5	2883	NA	NA
PIAS3	2884	NA	NA
RIN2	2885	NA	NA
BCL3	2886	NA	NA
HIST1H3B	2887	NA	NA
VWF	2888	NA	NA
CSTF2	2889	NA	NA
PREI3	2890	NA	NA
CTSE	2891	NA	NA
MAP3K7IP1	2892	NA	NA
CCT8	2893	NA	NA
LIPG	2894	NA	NA
RNF4	2895	NA	NA
CTTN	2896	NA	NA
DNASE1L1	2897	NA	NA
ARPP-21	2898	NA	NA
BAD	2899	NA	NA
YBX2	2900	NA	NA
LHX3	2901	NA	NA
APG12L	2902	NA	NA
ZFY	2903	NA	NA
FLJ20010	2904	NA	NA
PSG3	2905	NA	NA
ANK1	2906	NA	NA
SFRS16	2907	NA	NA
ITGAV	2908	NA	NA
STK17A	2909	NA	NA
CD3D	2910	NA	NA
RALGPS2	2911	NA	NA
ABCC8	2912	NA	NA
ATP6AP1	2913	NA	NA
GDF9	2914	NA	NA
NEIL1	2915	NA	NA
ECM2	2916	NA	NA
BBC3	2917	NA	NA
RAP1GDS1	2918	NA	NA
EYA4	2919	NA	NA
CITED2	2920	NA	NA
LOC81691	2921	NA	NA
RBPSUHL	2922	NA	NA
TRPM6	2923	NA	NA
UMPS	2924	NA	NA
KIAA1040	2925	NA	NA
PVR	2926	NA	NA
HSD3B2	2927	NA	NA
S100A3	2928	NA	NA
SMARCA5	2929	NA	NA
CDA	2930	NA	NA
SLC25A13	2931	NA	NA
HHLA3	2932	NA	NA
TMOD1	2933	NA	NA
ITPR3	2934	NA	NA
CD19	2935	NA	NA
KLRB1	2936	NA	NA
BC-2	2937	NA	NA
CTPS2	2938	NA	NA
GADD45G	2939	NA	NA
ZA20D1	2940	NA	NA
ENSA	2941	NA	NA
SOCS6	2942	NA	NA
SMARCE1	2943	NA	115
LDB3	2944	NA	NA
EIF4G2	2945	NA	NA
USP49	2946	NA	NA
KPNA6	2947	NA	NA
LEMD3	2948	NA	NA
EVPL	2949	NA	NA
IBSP	2950	NA	NA
APOF	2951	NA	NA
DHDDS	2952	NA	NA
CRTAM	2953	NA	NA
WARP	2954	NA	NA
LPIN2	2955	NA	NA
PDE6A	2956	NA	NA
COX6B1	2957	NA	NA
PACAP	2958	NA	NA
RNF130	2959	NA	NA
PIGB	2960	NA	NA
MGMT	2961	NA	NA
MSH3	2962	NA	NA
ZNF44	2963	NA	NA
FLJ11806	2964	NA	NA
TNNI3K	2965	NA	NA
TOLLIP	2966	NA	NA
RIOK2	2967	NA	NA
RAB3B	2968	NA	NA
DNAJC4	2969	NA	NA
LGALS13	2970	NA	NA
EML1	2971	NA	NA
MEP1B	2972	NA	NA
SEC24C	2973	NA	NA
XPNPEP2	2974	NA	NA
CESK1	2975	NA	NA
CD96	2976	NA	NA
GOLGA2	2977	NA	NA
CHEK2	2978	NA	NA
APP	2979	NA	NA
BIN1	2980	NA	NA
MGAT1	2981	NA	NA
HRASLS	2982	NA	319
CD2BP2	2983	NA	NA
CACNG1	2984	NA	NA
OLR1	2985	NA	NA
TEBP	2986	NA	NA
PFKM	2987	NA	31
SEC3L1	2988	NA	NA
MGC2477	2989	NA	NA
TMP21	2990	NA	NA
ALG5	2991	NA	NA
CABP1	2992	NA	NA
HBE1	2993	NA	NA
SMN2	2994	NA	NA
DREV1	2995	NA	NA
COL1A2	2996	NA	NA
APC	2997	NA	NA
LAMA3	2998	NA	NA
ZNF224	2999	NA	NA
HDCMA18P	3000	NA	NA
EIF5A2	3001	NA	NA
MAGEA4	3002	NA	NA
ETS1	3003	NA	NA
MPL	3004	NA	NA
FLJ12587	3005	NA	NA
CREB1	3006	NA	NA
PPAP2C	3007	NA	NA
STIP1	3008	NA	NA
RAB33A	3009	NA	NA
ZNF593	3010	NA	NA
PTP4A1	3011	NA	NA
FGL2	3012	NA	NA
GSTK1	3013	NA	NA
GFI1	3014	NA	NA
TAGLN2	3015	NA	NA
ADAMTS1	3016	NA	NA
RNF139	3017	NA	NA
NME7	3018	NA	NA
POMT2	3019	NA	NA
DDAH1	3020	NA	NA
ARSF	3021	NA	NA
NCOR2	3022	NA	NA
HTN3	3023	NA	NA
LY6G6E	3024	NA	NA
LAMA4	3025	NA	NA
NDUFS2	3026	NA	NA
MTUS1	3027	84	377
CALCA	3028	NA	NA
CRSP2	3029	NA	NA
DCL-1	3030	NA	NA
TMEM4	3031	NA	NA
MLANA	3032	NA	NA
TFG	3033	NA	NA
CUTC	3034	NA	NA
MTCBP-1	3035	NA	NA
KLRD1	3036	NA	NA
MAGED2	3037	102	NA
DLG5	3038	NA	NA
DGKQ	3039	NA	NA
DAO	3040	NA	NA
FLJ13213	3041	NA	NA
RUNX2	3042	NA	NA
CTSK	3043	NA	NA
HSPC132	3044	NA	NA
CNDP2	3045	NA	NA
CLCA1	3046	NA	NA
RNF32	3047	NA	NA
IDH3B	3048	NA	NA
NID2	3049	NA	NA
TH1L	3050	NA	NA
KNS2	3051	NA	NA
NOVA2	3052	NA	NA
NPTXR	3053	NA	NA
DLD	3054	NA	NA
GTDC1	3055	NA	NA
SGK	3056	NA	NA
PORIMIN	3057	NA	NA
XPC	3058	NA	NA
NRCAM	3059	NA	NA
PANK4	3060	NA	NA
GPR15	3061	NA	NA
SUPT4H1	3062	NA	NA
LOC58486	3063	NA	NA
"NAT8"	3064	NA	NA
SLC22A14	3065	NA	NA
IL1RAPL2	3066	NA	NA
SUPT16H	3067	NA	NA
TFEC	3068	NA	NA
BMX	3069	NA	NA
NFE2L2	3070	NA	NA
CXCL1	3071	NA	NA
TBPL1	3072	NA	NA
CETN3	3073	NA	NA
NDUFAB1	3074	NA	NA
TIMM9	3075	NA	NA
MEP1A	3076	NA	NA
MAGEB2	3077	NA	NA
PTE1	3078	NA	NA
HIST1H3D	3079	NA	NA
MGC26885	3080	NA	NA
MARK3	3081	NA	NA
SNAP29	3082	NA	NA
BCL10	3083	NA	NA
MC4R	3084	NA	NA
SS18L1	3085	NA	NA
ATF2	3086	NA	NA
RNMT	3087	NA	NA
ABCA7	3088	NA	NA
SMARCD2	3089	NA	NA
MLLT1	3090	NA	NA
ITGA7	3091	NA	NA
PSPC1	3092	NA	NA
TXNL4B	3093	NA	NA
JMJD1C	3094	NA	NA
F8A1	3095	NA	NA
CAMK1D	3096	NA	NA
LCN2	3097	NA	NA
EVA1	3098	NA	NA
GARS	3099	NA	NA
BTRC	3100	NA	NA
SHOC2	3101	NA	NA
TNFRSF10C	3102	NA	NA
CNOT8	3103	NA	NA
RAMP2	3104	NA	NA
RBM12	3105	NA	NA
MTNR1A	3106	NA	NA
MBIP	3107	NA	NA
CDA08	3108	NA	NA
TCL1A	3109	NA	NA
DES	3110	NA	NA
WBSCR22	3111	NA	NA
KIAA0056	3112	NA	NA
DNASE1L3	3113	NA	NA
IL16	3114	NA	NA
MMP3	3115	NA	NA
HDAC9	3116	NA	NA
UBE2E3	3117	141	NA
NDE1	3118	NA	NA
LOC283232	3119	NA	NA
PPP2R2A	3120	NA	NA
SEMA6A	3121	NA	NA
HTR2B	3122	NA	NA
FLJ20699	3123	NA	NA
DHX15	3124	NA	NA
PIWIL2	3125	NA	NA
G10	3126	NA	NA
FLJ13576	3127	NA	NA
KIAA0913	3128	NA	NA
LITAF	3129	NA	NA
NETO2	3130	NA	NA
SEC61A1	3131	NA	NA
B3GNT3	3132	NA	NA
CYB5R2	3133	NA	NA
KRT17	3134	NA	NA
KLHDC2	3135	NA	NA
SFRS9	3136	NA	NA
MAP2K1IP1	3137	NA	NA
FBXL2	3138	NA	NA
XAB2	3139	NA	NA
WNT5A	3140	NA	NA
NOS2A	3141	NA	NA
VBP1	3142	NA	NA
USP9Y	3143	NA	NA
RAB14	3144	NA	NA
LOC92346	3145	NA	NA
RBM14	3146	NA	NA
CXCL12	3147	NA	NA
MTRF1	3148	NA	NA
FANCC	3149	NA	NA
LTA	3150	NA	NA
HGNT-IV-H	3151	NA	NA
MAST2	3152	NA	NA
PHKA2	3153	NA	NA
CD44	3154	NA	NA
TPARL	3155	NA	NA
APLP2	3156	283	159
07.Sep	3157	NA	NA
SLC17A5	3158	NA	NA
LILRA3	3159	NA	NA
WAS	3160	NA	NA
ATF7IP	3161	NA	NA
ENPP2	3162	NA	NA
MYLK	3163	NA	NA
CSE1L	3164	NA	NA
PISD	3165	NA	NA
JAM3	3166	NA	NA
EPHX2	3167	NA	NA
RHOD	3168	NA	NA
PCF11	3169	NA	NA
H3F3A	3170	NA	NA
LOC51204	3171	NA	NA
TRAF3IP1	3172	NA	NA
MNS1	3173	NA	NA
PTPN11	3174	NA	NA
PKDREJ	3175	NA	NA
APG3L	3176	NA	NA
KLRC4	3177	NA	NA
SYNE1	3178	NA	NA
ARF4	3179	NA	NA
KIAA0605	3180	NA	NA
ATP5G1	3181	NA	NA
PTPRO	3182	NA	NA
AMH	3183	NA	NA
SLC26A4	3184	NA	NA
FLJ20160	3185	NA	NA
ST18	3186	NA	NA
MGC10993	3187	NA	NA
CCR2	3188	NA	NA
FLJ10260	3189	NA	NA
EN2	3190	NA	NA
HAS1	3191	NA	NA
DNCH1	3192	NA	NA
KRTHB6	3193	NA	NA
RAB11FIP1	3194	NA	NA
PSMD9	3195	NA	NA
DNAJA3	3196	NA	NA
TM7SF2	3197	NA	NA
ATP5D	3198	NA	NA
TK2	3199	NA	NA
PDZRN4	3200	NA	NA
HT001	3201	NA	NA
PYGM	3202	NA	NA
SLC38A4	3203	NA	NA
SP110	3204	NA	NA
RAB35	3205	NA	NA
TTC15	3206	NA	NA
PRDX1	3207	NA	NA
GCA	3208	NA	NA
CXCL13	3209	NA	NA
HERPUD1	3210	NA	NA
HMGB3	3211	NA	NA
WASF3	3212	NA	NA
ISG20	3213	NA	NA
PGM1	3214	NA	NA
CX3CL1	3215	371	NA
ANKRA2	3216	NA	NA
ITM2B	3217	NA	NA
DELGEF	3218	NA	NA
02.Dec	3219	NA	NA
SFRS5	3220	NA	NA
CBX8	3221	NA	NA
ITIH2	3222	NA	NA
CHRNA1	3223	NA	NA
AKAP4	3224	NA	NA
EPHA5	3225	NA	NA
HLA-DRB1	3226	NA	NA
CRISP2	3227	NA	NA
GUCY2F	3228	NA	NA
C7	3229	NA	NA
CL640	3230	NA	NA
ADAMTS7	3231	NA	NA
FOXJ2	3232	NA	NA
ADAM9	3233	NA	381
ZNF10	3234	NA	NA
LAMB3	3235	NA	NA
PTGFR	3236	NA	NA
P2RX5	3237	NA	NA
VLDLR	3238	NA	54
GSTP1	3239	NA	NA
KIAA1279	3240	NA	NA
CCNG2	3241	NA	NA
FARS2	3242	NA	NA
TRIM32	3243	NA	NA
TBR1	3244	NA	NA
WRB	3245	NA	NA
PPOX	3246	NA	NA
UNC5C	3247	NA	NA
PCSK5	3248	NA	NA
PTPRG	3249	NA	NA
ATP6V1E1	3250	NA	NA
ADAT1	3251	NA	NA
MMP17	3252	NA	NA
CA8	3253	NA	NA
MEF2D	3254	NA	NA
HRPT2	3255	NA	NA
ASCC3L1	3256	NA	NA
FLJ13912	3257	NA	NA
IFNAR1	3258	NA	NA
LCP2	3259	NA	NA
GPR116	3260	NA	NA
ANXA5	3261	NA	NA
GZMB	3262	NA	NA
PLD1	3263	NA	NA
BENE	3264	NA	NA
NUBP2	3265	NA	NA
GTF3C1	3266	NA	NA
RBM30	3267	NA	NA
ATXN2	3268	NA	NA
C3AR1	3269	NA	NA
INSIG1	3270	NA	NA
FLJ20130	3271	NA	NA
PTHR1	3272	NA	NA
CD2AP	3273	NA	NA
GPR6	3274	NA	NA
PRG3	3275	NA	NA
CHRNA3	3276	NA	NA
HOXD11	3277	NA	NA
SCN8A	3278	NA	NA
PROZ	3279	NA	NA
EHD3	3280	NA	NA
WFDC1	3281	NA	NA
PIGK	3282	NA	NA
APEX1	3283	NA	NA
ADH7	3284	NA	NA
SLIT2	3285	NA	NA
FKBP5	3286	NA	285
KIAA0963	3287	NA	NA
SEC10L1	3288	NA	NA
RPS6KA1	3289	NA	NA
SUPV3L1	3290	NA	NA
FLNC	3291	NA	NA
MAFB	3292	NA	NA
ACSL5	3293	NA	NA
TRIP13	3294	NA	NA
FGFBP1	3295	NA	NA
MGC5508	3296	NA	NA
GABRE	3297	NA	NA
KRT19	3298	NA	NA
MRPL49	3299	NA	NA
NEDD8	3300	NA	NA
MR1	3301	NA	NA
GPKOW	3302	NA	NA
PAFAH2	3303	NA	NA
PCDH1	3304	NA	NA
CARD8	3305	NA	NA
SCAND2	3306	NA	NA
TKTL1	3307	NA	NA
SIGLEC6	3308	NA	NA
BRDT	3309	NA	NA
LEPR	3310	NA	NA
MKRN3	3311	NA	NA
EIF2S1	3312	NA	NA
VAMP8	3313	NA	NA
ALS4	3314	NA	NA
FLJ20758	3315	NA	NA
STX7	3316	NA	NA
CDH5	3317	NA	NA
MAGEA2	3318	NA	NA
TBX21	3319	NA	NA
FLJ10634	3320	NA	NA
SF4	3321	NA	NA
CPOX	3322	NA	NA
PAICS	3323	NA	NA
HTATIP2	3324	NA	NA
H2AFZ	3325	NA	NA
AASS	3326	NA	NA
MGC11335	3327	NA	NA
KIAA0649	3328	NA	NA
LOC440138	3329	NA	NA
SOD1	3330	NA	NA
DNAH3	3331	NA	NA
EPS8L3	3332	NA	NA
BPHL	3333	NA	NA
CAMK2B	3334	NA	NA
AQP7	3335	NA	NA
RNF121	3336	NA	NA
CHCHD3	3337	NA	NA
P4HA1	3338	259	124
FH	3339	NA	NA
SLC12A9	3340	NA	NA
KCNA2	3341	NA	NA
RPE65	3342	NA	NA
SLITRK5	3343	NA	NA
MMP1	3344	NA	NA
EVI2B	3345	NA	NA
COL15A1	3346	NA	NA
RBM22	3347	NA	NA
GNA13	3348	NA	NA
CANT1	3349	NA	NA
AMPD1	3350	NA	NA
BRD8	3351	NA	NA
ACOX3	3352	NA	NA
ZNF415	3353	NA	NA
PSMB1	3354	NA	NA
LSM3	3355	NA	NA
PPY	3356	NA	NA
FAP	3357	NA	NA
FLJ20397	3358	NA	NA
MTMR3	3359	NA	NA
LRRTM2	3360	NA	NA
SNRPE	3361	NA	NA
SEC22L2	3362	NA	NA
EXOSC10	3363	NA	NA
TTPA	3364	NA	NA
SLC22A3	3365	NA	NA
SIM2	3366	NA	NA
CHST7	3367	NA	NA
MMP2	3368	NA	NA
ARD1	3369	NA	NA
ARL6IP5	3370	NA	NA
BCR	3371	NA	NA
PRDX6	3372	NA	NA
CCL21	3373	NA	NA
PSMB2	3374	NA	NA
RPH3AL	3375	NA	NA
PLS1	3376	NA	NA
PLCL1	3377	NA	351
"NAT5"	3378	NA	NA
THBS4	3379	NA	NA
RODH	3380	NA	NA
TCP10	3381	NA	NA
DPM2	3382	NA	NA
CATSPER2	3383	NA	NA
RASA1	3384	NA	NA
CDH18	3385	NA	NA
PIAS4	3386	NA	NA
GABRD	3387	NA	NA
MYBPC3	3388	NA	NA
RBM16	3389	NA	NA
RNF44	3390	NA	NA
PAPOLG	3391	NA	NA
NDUFA4	3392	NA	NA
KIAA0101	3393	NA	NA
GPR27	3394	NA	NA
ZNF330	3395	NA	NA
ARID1A	3396	NA	NA
FABP2	3397	NA	NA
TNFSF11	3398	NA	NA
TSGA10	3399	NA	NA
PEX26	3400	NA	NA
SLC5A1	3401	NA	NA
RASAL2	3402	NA	NA
FLJ20701	3403	NA	NA
NCALD	3404	NA	NA
BUB3	3405	NA	NA
AREG	3406	NA	NA
RAD51C	3407	NA	NA
SUV420H1	3408	NA	NA
HIST1H4D	3409	NA	NA
CES2	3410	NA	NA
KLF3	3411	NA	NA
APOM	3412	NA	NA
CDRT1	3413	NA	NA
EVC	3414	NA	NA
TIAM1	3415	NA	NA
RPS15A	3416	NA	NA
JPH3	3417	NA	NA
ZNF157	3418	NA	NA
RBMX2	3419	NA	NA
TOP1	3420	NA	NA
AUTS2	3421	NA	NA
SNX6	3422	NA	NA
SP100	3423	NA	NA
SLC31A2	3424	NA	NA
EED	3425	NA	NA
SH2D3A	3426	NA	NA
HOXA10	3427	NA	NA
GP1BA	3428	NA	NA
DNAJB5	3429	NA	NA
SH3YL1	3430	NA	NA
SHMT2	3431	NA	NA
GPI	3432	NA	NA
SALL2	3433	NA	NA
RNASE4	3434	NA	NA
VPS33A	3435	NA	NA
SPTBN4	3436	NA	NA
ULK1	3437	NA	NA
ABC1	3438	NA	NA
MGC4368	3439	NA	NA
NR2F2	3440	NA	NA
ZIC3	3441	NA	NA
CTNNA3	3442	NA	NA
GCLC	3443	NA	NA
KIAA1005	3444	NA	NA
MGC5297	3445	NA	NA
FOXP3	3446	NA	NA
HERC6	3447	NA	NA
CD1A	3448	NA	NA
TDGF1	3449	NA	NA
AHI1	3450	NA	NA
PZP	3451	NA	NA
OPN1SW	3452	NA	NA
PARC	3453	NA	NA
RNF126	3454	NA	NA
HBLD2	3455	NA	NA
PTPRJ	3456	NA	NA
BMPR2	3457	NA	NA
TESK1	3458	NA	NA
GKN1	3459	NA	NA
PAPD1	3460	NA	NA
ERBB2IP	3461	NA	NA
CCRK	3462	NA	NA
PCM1	3463	NA	NA
ADORA3	3464	NA	NA
UMOD	3465	NA	NA
TNPO2	3466	NA	NA
RP2	3467	NA	NA
RAI16	3468	NA	NA
FOXI1	3469	NA	NA
MGC21654	3470	NA	NA
UXT	3471	NA	NA
PARG1	3472	NA	NA
ANXA10	3473	NA	NA
PAWR	3474	NA	NA
ONECUT2	3475	NA	NA
STX17	3476	NA	NA
GNAI3	3477	NA	NA
PTHR2	3478	NA	NA
EHD1	3479	NA	NA
TSN	3480	NA	NA
IGF2R	3481	NA	NA
COX6A1	3482	NA	NA
PBX3	3483	NA	NA
TIP120A	3484	NA	NA
NEUGRIN	3485	NA	NA
GABRR1	3486	NA	NA
TOMM34	3487	NA	NA
CNGB3	3488	NA	NA
FLJ13491	3489	NA	NA
BNC2	3490	NA	NA
