Gene	apo_rank	ABrank	ALrank
PTPN3	239	NA	NA
EPN3	240	NA	NA
SOX13	241	NA	NA
AZGP1	242	41	39
FGL1	243	NA	NA
LOC51619	244	NA	NA
ST7	245	NA	NA
HNMT	246	NA	NA
PACE-1	247	NA	NA
SIAT7B	248	NA	259
ESRRG	249	347	NA
ENAH	250	NA	NA
CASP4	251	NA	NA
CPD	252	NA	NA
DEFB1	253	NA	NA
ECHS1	254	NA	NA
ARHGAP6	255	NA	NA
FABP6	256	NA	NA
SLC31A1	257	NA	135
PDLIM3	258	NA	NA
EFS	259	NA	NA
CIB1	260	NA	NA
GSS	261	NA	NA
FLJ22794	262	NA	NA
TTC1	263	NA	NA
ZNF606	264	NA	NA
VTI1B	265	NA	NA
FLJ10901	266	NA	NA
PAX9	267	NA	NA
SPTLC2	268	44	78
UCHL3	269	NA	190
SOCS2	270	NA	NA
HN1	271	NA	NA
DUSP5	272	NA	NA
PADI3	273	NA	NA
FBP1	274	NA	NA
13CDNA73	275	NA	NA
PHLDA2	276	NA	NA
RAB15	277	NA	NA
CDCP1	278	NA	NA
GOLGA1	279	NA	NA
KIAA0436	280	NA	NA
CS	281	NA	NA
ZPBP	282	NA	NA
ATP7B	283	NA	NA
FYCO1	284	NA	NA
SYNJ2BP	285	NA	NA
FLJ21963	286	293	NA
NQO2	287	NA	NA
CETN2	288	NA	NA
RDH11	289	NA	NA
SLC15A2	290	NA	NA
PPP2CA	291	NA	NA
FLN29	292	NA	NA
FLJ20323	293	NA	NA
INSIG2	294	NA	NA
ARHI	295	NA	NA
HSPA5BP1	296	NA	NA
COPS8	297	NA	NA
STX1A	298	NA	NA
IFNGR1	299	NA	NA
CYP4B1	300	NA	NA
FLJ20315	301	NA	NA
CCNG1	302	NA	NA
CTNND1	303	NA	NA
SWAP70	304	129	20
PITPNC1	305	NA	NA
PON2	306	173	50
EPHB4	307	NA	NA
OSBPL2	308	NA	NA
TUBB2	309	NA	NA
MYCBP	310	NA	NA
NESG1	311	NA	NA
"NANS"	312	300	NA
TNFAIP9	313	NA	NA
NR2F1	314	185	NA
STAT4	315	NA	NA
KDELR2	316	NA	NA
GSTM3	317	NA	NA
NQO1	318	NA	NA
HES1	319	NA	NA
GGCX	320	NA	NA
F7	321	NA	NA
TMPRSS4	322	NA	NA
ATP6V1D	323	NA	NA
NDUFS6	324	NA	NA
AFP	325	NA	NA
PLEK2	326	NA	NA
PPIC	327	201	NA
KRT20	328	NA	NA
ARPC3	329	NA	NA
PSMD3	330	NA	NA
VNN2	331	NA	NA
TMSB10	332	NA	NA
CALML5	333	NA	NA
HRI	334	NA	NA
GOLPH2	335	NA	NA
HT008	336	NA	NA
UGT2B17	337	NA	NA
